Company	Role / Position	Company Type	Funding / Stage	Tech Stack Match	Job URL / Careers Page	Application Status	Date Applied	Source / Platform	LinkedIn Company Page	HR / Recruiter Outreach Title	Suggested Outreach Channel	Follow-Up Date	Last Follow-Up	Response Received	Interview Stage	Interview Date	Notes	Salary Range (Monthly INR)	Salary Range (LPA)	Location	Work Mode	Priority	Cold Message Template ID
Payoda	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.payoda.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/payoda/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-COIMBATORE
PhonePe	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://www.phonepe.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/phonepe-internet/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-FINTECH
Porter	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://porter.in/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/porter-in/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-MOBILITY
Postman	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://www.postman.com/company/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/postman-platform/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★★★ TOP	MSG-GOLANG
Razorpay	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://razorpay.com/jobs/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/razorpay/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-FINTECH
SigNoz	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://signoz.io/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/signoz/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★★★ TOP	MSG-GOLANG
SurveySparrow	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://surveysparrow.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/surveysparrow/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-COIMBATORE
Swiggy	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://careers.swiggy.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/swiggy/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★★ TOP	MSG-MOBILITY
Yellow.ai	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://yellow.ai/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/yellowdotai/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★★ TOP	MSG-SAAS
Aptiv	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.aptiv.com/en/jobs/working-here/global-locations/india	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/aptiv/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Aspire Systems	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.aspiresys.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/aspire-systems/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Ather Energy	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://www.atherenergy.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/ather-energy/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-MOBILITY
Atlassian	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.atlassian.com/company/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/atlassian/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-GENERAL
Boolean & Beyond	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.booleanbeyond.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/boolean-and-beyond/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
BrowserStack	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://www.browserstack.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/browserstack/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-GOLANG
CRED	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://careers.cred.club/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/credapp/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-FINTECH
Caterpillar	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://careers.caterpillar.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/caterpillar-inc/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Cercle X	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.cerclex.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/cercle-x/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Codincity	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://codincity.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/codincity/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Darwinbox	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://darwinbox.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/darwinbox/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-SAAS
Decentro	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://decentro.tech/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/decentro/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-FINTECH
Detect Technologies	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://detecttechnologies.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/detect-technologies/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
DevRev	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://devrev.ai/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/devrev/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-GOLANG
Dover India	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://careers.dovercorporation.com/go/Dover-India-Innovation-Center/9068301/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/dover-corporation/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Druva	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.druva.com/company/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/druva/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-SAAS
Elgi Equipments	Software Engineer - Full Stack / Backend (NestJS / Next.js)	Product-Based (Regional SaaS & High-Impact Tech (TN/Coimbatore/Chennai))	Unicorn / Scaled Product	★★★★★ NestJS Next.js 16 Go TypeScript PostgreSQL	https://www.elgi.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/elgi-equipments-limited/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Coimbatore/TN Regional tech hub. Immediate availability, local presence advantage, full-stack capabilities.	₹35K-₹65K	5-9 LPA	Coimbatore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-COIMBATORE
Facilio	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://facilio.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/facilio/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-SAAS
Flipkart	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://www.flipkartcareers.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/flipkart/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-MOBILITY
Glean	Backend / Platform Engineer (Go / Node.js)	Product-Based (Developer Tools & Infra)	Unicorn / Scaled Product	★★★★★ Go Node.js Microservices gRPC Kafka KrakenD	https://www.glean.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/gleanwork/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		DevTools & Infra match. Highlight 11 Go microservices with Kafka Transactional Outbox pattern & KrakenD API Gateway (8k req/s).	₹50K-₹90K	7-14 LPA	Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-GOLANG
Groww	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://groww.in/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/groww/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★★☆ HIGH	MSG-FINTECH
Gupshup	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.gupshup.io/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/gupshup/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-SAAS
InMobi	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.inmobi.com/company/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/inmobi/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★★☆ HIGH	MSG-GENERAL
